tipo_alerta,cpf_origem,data_hora_referencia,quantidade,valor_total,risco
SMURFING,128.930.674-50,2026-01-06 10:16,9,1589.59,ALTO
SMURFING,175.289.346-82,2026-01-12 18:15,8,1361.16,ALTO
SMURFING,180.974.253-60,2026-01-13 22:29,11,2375.87,ALTO
SMURFING,261.385.409-05,2026-01-13 22:48,7,1198.62,MEDIO
SMURFING,276.154.809-49,2026-01-22 12:23,10,1962.48,ALTO
SMURFING,362.140.958-06,2026-01-11 21:52,10,1445.09,ALTO
SMURFING,418.672.593-46,2026-01-22 14:19,10,1897.78,ALTO
SMURFING,423.085.967-83,2026-01-04 23:52,11,1938.46,ALTO
SMURFING,584.129.376-19,2026-01-09 07:41,12,2069.1,ALTO
SMURFING,693.415.728-19,2026-01-25 17:02,7,1021.16,MEDIO
SMURFING,702.495.361-61,2026-01-01 13:43,9,1024.42,ALTO
SMURFING,827.134.059-04,2026-01-09 11:37,9,1470.44,ALTO
SMURFING,830.927.461-04,2026-01-03 09:47,9,1163.18,ALTO
SMURFING,852.976.043-38,2026-01-03 14:40,11,1598.8,ALTO
SMURFING,980.372.451-79,2026-01-24 14:05,9,1227.95,ALTO
VALOR_REPETIDO,073.142.965-61,2026-01-31,7,3500.0,ALTO
VALOR_REPETIDO,268.079.541-58,2026-01-29,6,600.0,ALTO
VALOR_REPETIDO,273.901.458-97,2026-01-27,8,4000.0,ALTO
VALOR_REPETIDO,306.927.145-61,2026-01-31,4,6000.0,MEDIO
VALOR_REPETIDO,432.069.581-05,2026-01-22,8,4000.0,ALTO
VALOR_REPETIDO,712.308.549-32,2026-01-28,7,10500.0,ALTO
VALOR_REPETIDO,769.350.184-39,2026-01-20,5,500.0,MEDIO
VALOR_REPETIDO,813.924.506-24,2026-01-22,4,400.0,MEDIO
VALOR_REPETIDO,841.670.395-75,2026-01-26,4,4000.0,MEDIO
VALOR_REPETIDO,956.437.201-16,2026-01-22,4,400.0,MEDIO
HORARIO_ATIPICO,403.569.872-56,2026-01-25 03:23:23,1,7308.03,ALTO
HORARIO_ATIPICO,379.506.842-83,2026-01-11 05:09:42,1,15667.73,ALTO
HORARIO_ATIPICO,872.610.495-49,2026-01-28 03:45:58,1,6723.61,ALTO
HORARIO_ATIPICO,175.983.024-05,2026-01-29 04:02:24,1,11117.98,ALTO
HORARIO_ATIPICO,961.840.573-75,2026-01-16 04:48:39,1,15991.46,ALTO
HORARIO_ATIPICO,263.758.409-29,2026-01-18 05:40:59,1,15533.7,ALTO
HORARIO_ATIPICO,125.076.943-43,2026-01-12 04:34:01,1,18646.79,ALTO
HORARIO_ATIPICO,978.650.312-03,2026-01-03 02:42:59,1,19608.78,ALTO
HORARIO_ATIPICO,205.139.784-88,2026-01-07 04:27:42,1,15398.03,ALTO
HORARIO_ATIPICO,256.873.419-19,2026-01-25 03:22:31,1,7925.59,ALTO
HORARIO_ATIPICO,348.512.067-71,2026-01-20 04:33:03,1,9342.14,ALTO
HORARIO_ATIPICO,296.387.105-86,2026-01-11 01:26:38,1,19445.19,ALTO
HORARIO_ATIPICO,879.124.035-23,2026-01-08 01:51:23,1,9402.76,ALTO
HORARIO_ATIPICO,620.781.439-87,2026-01-10 04:09:23,1,15231.16,ALTO
HORARIO_ATIPICO,756.049.283-56,2026-01-24 04:47:16,1,16646.17,ALTO
HORARIO_ATIPICO,243.058.971-05,2026-01-01 04:41:47,1,13634.8,ALTO
HORARIO_ATIPICO,273.568.490-38,2026-01-23 02:05:25,1,16119.34,ALTO
HORARIO_ATIPICO,309.451.268-24,2026-01-16 02:34:44,1,19993.71,ALTO
HORARIO_ATIPICO,734.158.926-46,2026-01-23 03:12:48,1,8159.89,ALTO
HORARIO_ATIPICO,349.208.675-65,2026-01-27 04:11:03,1,11927.82,ALTO
