id_transacao,cpf_origem,cpf_destino,tipo_transacao,valor,data,hora
1724,617.409.532-07,632.549.807-00,Pix Recebido,57.97,2026-01-28,08:51:34
3030,230.541.986-42,568.790.312-77,Pagamento,56.87,2026-01-14,07:09:10
3800,851.249.036-51,924.516.087-49,Pagamento,48.61,2026-01-15,13:55:46
330,358.709.642-29,296.518.073-77,Pix Enviado,11.34,2026-01-02,15:37:03
3961,829.361.705-59,279.683.410-78,Pagamento,9.64,2026-01-01,14:39:49
2752,218.973.650-12,471.953.820-79,Pagamento,32.47,2026-01-31,09:15:05
3791,729.835.106-03,932.768.045-65,Pix Recebido,5.07,2026-01-31,12:07:45
3664,350.276.184-17,024.157.986-49,Pix Recebido,41.66,2026-01-05,16:04:06
4298,056.794.832-38,586.142.937-55,Saque Pix,26.12,2026-01-09,19:04:44
2805,285.360.941-33,315.820.497-50,Transferência,54.86,2026-01-15,13:49:30
3803,925.164.708-94,056.794.832-38,Pix Recebido,7.12,2026-01-22,18:00:58
4196,873.645.201-71,539.867.201-03,Pix Enviado,13.19,2026-01-06,03:24:54
3862,479.028.536-74,413.589.027-04,Saque Pix,71.99,2026-01-07,12:46:22
1046,023.157.896-21,730.458.921-32,Pix Recebido,10.25,2026-01-13,16:15:02
3162,950.431.628-05,036.295.174-80,Transferência,37.52,2026-01-23,05:13:12
4215,264.983.571-00,165.807.934-57,Pagamento,21.3,2026-01-28,23:56:15
1538,362.504.978-38,568.137.204-90,Transferência,81.71,2026-01-22,20:28:55
2478,842.967.503-56,397.614.280-87,Pagamento,9.75,2026-01-30,21:08:15
2075,630.859.427-00,018.324.769-87,Pagamento,84.43,2026-01-26,09:32:19
4381,435.890.261-89,635.492.107-52,Pix Enviado,8.02,2026-01-08,19:28:48
1051,165.270.834-08,260.549.387-38,Transferência,142.25,2026-01-23,08:22:01
2738,364.751.092-07,625.790.143-06,Pagamento,123.51,2026-01-22,14:11:03
4485,301.274.698-69,826.549.370-38,Pix Enviado,91.64,2026-01-31,08:48:26
4738,546.832.109-24,285.360.941-33,Pix Recebido,30.94,2026-01-08,10:30:06
1699,261.430.597-99,285.734.960-29,Pix Enviado,50.29,2026-01-12,15:08:21
2030,546.832.109-24,653.817.209-12,Saque Pix,25.77,2026-01-26,06:32:47
3253,986.751.340-10,603.458.791-39,Transferência,25.63,2026-01-06,01:38:47
1197,906.247.813-13,908.216.743-31,Pagamento,6.94,2026-01-22,12:36:00
834,358.709.642-29,087.649.321-50,Saque Pix,27.65,2026-01-01,14:42:41
2373,913.025.468-05,940.627.158-30,Transferência,241.28,2026-01-22,10:20:42
1786,467.935.201-99,821.476.305-35,Pix Recebido,67.09,2026-01-25,16:47:05
3901,423.079.615-34,753.081.629-21,Saque Pix,124.81,2026-01-12,10:54:44
4500,405.623.871-53,954.137.082-97,Pagamento,15.69,2026-01-14,09:11:49
2422,678.592.401-49,160.592.478-49,Pix Enviado,33.39,2026-01-01,09:58:54
622,093.587.412-79,657.408.913-10,Transferência,3.19,2026-01-01,13:41:53
3261,521.463.087-53,621.973.504-80,Saque Pix,51.35,2026-01-17,13:13:41
4408,025.167.489-49,167.845.932-19,Pix Enviado,73.11,2026-01-18,19:20:56
2952,352.609.174-99,538.420.697-74,Pix Recebido,78.09,2026-01-16,18:14:41
1165,236.174.085-08,047.359.216-99,Pix Enviado,223.97,2026-01-27,06:18:12
196,908.457.623-38,461.930.852-89,Pix Enviado,21.88,2026-01-12,08:42:04
4823,498.630.715-01,749.326.150-43,Pix Enviado,66.42,2026-01-24,23:57:16
2781,039.856.271-77,285.360.941-33,Transferência,37.99,2026-01-24,13:15:28
718,961.253.704-61,056.794.832-38,Pagamento,40.96,2026-01-02,22:35:12
2807,073.852.491-32,127.063.948-03,Transferência,61.23,2026-01-27,15:02:13
2522,568.137.204-90,561.379.248-82,Saque Pix,401.0,2026-01-24,12:46:40
617,906.247.813-13,687.203.154-90,Transferência,46.2,2026-01-04,15:45:58
991,315.820.497-50,192.358.604-15,Saque Pix,16.19,2026-01-17,07:12:19
2351,609.483.725-83,726.480.359-74,Transferência,27.75,2026-01-17,07:07:03
1923,740.268.135-17,052.396.874-47,Pix Enviado,3.7,2026-01-10,08:38:24
1087,052.396.874-47,085.376.429-83,Pix Recebido,135.86,2026-01-03,07:04:05
123,691.782.045-85,570.349.681-01,Pix Recebido,32.74,2026-01-09,18:58:14
5053,175.289.346-82,428.351.970-79,Pix Enviado,88.59,2026-01-12,18:15:00
1580,713.904.628-03,890.715.642-58,Transferência,580.86,2026-01-25,15:31:20
3781,324.765.891-28,403.298.175-23,Saque Pix,36.2,2026-01-02,18:59:34
4653,124.765.890-20,367.158.024-08,Transferência,11.67,2026-01-22,18:56:15
1564,923.150.784-23,546.832.109-24,Pagamento,386.44,2026-01-26,07:59:24
2392,736.902.184-03,387.190.524-05,Pix Enviado,28.33,2026-01-16,09:33:45
395,842.063.951-60,085.721.436-53,Pix Enviado,54.22,2026-01-13,01:11:45
281,423.079.615-34,524.963.071-52,Pix Recebido,25.91,2026-01-16,10:36:06
1152,195.742.360-99,408.259.671-20,Saque Pix,108.15,2026-01-10,06:57:16
1615,367.158.024-08,630.859.427-00,Transferência,172.63,2026-01-17,23:27:34
2012,593.106.728-03,395.671.042-80,Pix Recebido,10.49,2026-01-28,12:53:36
2126,068.427.953-38,852.091.463-24,Pagamento,7.03,2026-01-14,08:20:47
2554,736.425.198-73,039.856.271-77,Saque Pix,80.14,2026-01-04,16:40:08
4939,621.973.504-80,587.623.149-55,Pix Recebido,202.86,2026-01-14,18:47:08
2541,479.028.536-74,908.617.235-03,Pix Recebido,16.2,2026-01-19,20:21:56
150,946.572.813-64,398.615.420-51,Pix Recebido,9.65,2026-01-22,08:47:15
678,635.492.107-52,251.089.473-05,Pix Recebido,12.27,2026-01-31,21:58:51
2808,605.283.497-83,607.128.395-77,Saque Pix,192.72,2026-01-07,22:04:43
3058,041.837.295-05,936.812.507-40,Pagamento,13.4,2026-01-20,15:35:53
804,124.765.890-20,274.083.165-07,Pix Enviado,9.14,2026-01-11,15:59:45
4466,908.457.623-38,856.041.793-10,Pix Enviado,72.64,2026-01-14,20:36:55
